"asp";"slope";"cur_pl";"cur_pr";"conver";"swi";"prec";"temp";"rad";"ndvi";"dgm";"coord_y";"coord_x";"pawc";"mR";"temp_min";"cloudy";"frost";"veg_p";"cont";"sc";"sc_m";"prec_jja";"drought";"ab_alb"
"80";0,739745;32,5028;-0,0120997;-0,00481349;-0,219611;1,54922;1809;5,7;1022;0,526917;1018,35;283738;145698;84,225;5,8166;-19,1;111;124;190;18,8;108;26;664;3,5;"1"
"81";0,334962;41,2741;0,00475852;0,00888682;-3,30528;1,40642;1886;5,1;1116;0,453397;1162,65;283753;145948;119,505;5,73698;-19,5;113;132;173;18,1;125;30;684;3,4;"1"
"82";0,237461;35,475;0,0899148;0,027532;10,3442;1,38529;1809;5,7;1022;0,457746;1005,01;283733;145673;82,2492;5,8641;-19,1;111;124;190;18,8;108;26;664;3,5;"1"
"83";1,87389;26,3818;-0,02234;-0,0136952;-3,20815;1,58819;1748;6,5;1095;0,462329;796,7;283663;143988;113,7;5,92241;-18,7;109;117;205;19,3;94;22;646;3,5;"1"
"84";0,782609;39,2293;-0,00246762;-0,00718536;-0,606991;1,40023;1809;5,6;999;0,341463;1014,84;283643;145633;79,8069;5,77453;-19,1;111;124;190;18,8;108;26;664;3,5;"1"
"85";1,91313;39,8675;-0,0878843;-0,00270475;-5,16042;1,53353;1900;5,6;1120;0,565928;953,57;283588;151848;43,6153;6,38354;-19,7;112;128;186;18,7;121;28;670;3,4;"1"
"86";1,99938;35,1053;0,0583709;0,0283925;-3,99378;1,27726;1900;5,7;1120;0,327309;938,46;283628;151838;98,5301;5,94556;-19,7;112;128;186;18,7;121;28;670;3,4;"1"
"87";1,88459;38,916;0,0641343;0,0111895;16,1495;0,820374;1900;5,8;1120;0,717694;926,81;283633;151863;90,7065;6,039;-19,7;112;128;186;18,7;121;28;670;3,4;"1"
"88";1,96331;39,0587;-0,0537313;-0,0119953;7,03555;0,892097;1900;5,7;1120;0,503876;932,33;283643;151833;35,3205;6,2483;-19,7;112;128;186;18,7;121;28;670;3,4;"1"
"89";1,28601;41,9844;0,012936;-0,0251114;10,5283;0,900208;1900;5,7;1120;0,401802;956,26;283623;151803;33,4119;6,26577;-19,7;112;128;186;18,7;121;28;670;3,4;"1"
"90";0,360233;30,0776;0,0228554;-0,00532937;-3,68514;1,29706;1786;6,4;1164;0,583519;812,31;283608;144918;123,584;5,60279;-19;109;121;197;19;106;25;659;3,5;"1"
